@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R21-23,33-36-weka.filters.unsupervised.attribute.Remove-R1-2,7-14'

@attribute legal_north {true,false}
@attribute legal_east {true,false}
@attribute legal_south {true,false}
@attribute legal_west {true,false}
@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute num_walls numeric
@attribute alive_ghosts numeric
@attribute last_action {Stop,North,East,South,West}
@attribute g1_relPos {0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {0,1,2,3,4,5,6,7,8}
@attribute g1_closest {true,false}
@attribute g2_closest {true,false}
@attribute g3_closest {true,false}
@attribute g4_closest {true,false}
@attribute action {North,East,South,West}

@data
true,false,true,true,15,12,11,14,0,4,North,8,8,8,8,false,false,true,false,North
true,false,true,false,14,11,10,13,0,4,North,8,8,8,8,false,false,true,false,North
true,true,true,false,13,10,9,12,0,4,North,7,7,7,7,false,false,true,false,North
true,false,true,false,12,9,8,11,0,4,North,6,6,6,6,false,false,true,false,North
false,false,true,true,11,8,7,10,0,4,North,6,6,6,6,false,false,true,false,West
false,true,false,true,10,7,6,9,0,4,West,6,6,6,6,false,false,true,false,West
false,true,false,true,9,6,5,8,0,4,West,6,6,6,5,false,false,true,false,West
false,true,false,true,8,5,4,7,0,4,West,6,6,6,4,false,false,true,false,West
true,true,false,true,7,4,3,6,0,4,West,6,6,6,4,false,false,true,false,West
false,true,true,true,6,3,2,5,0,4,West,6,6,5,4,false,false,true,false,South
true,false,true,true,5,2,1,4,0,4,South,6,6,5,4,false,false,true,false,South
true,true,false,true,4,1,-1,3,0,3,South,7,7,6,3,false,true,false,false,West
true,true,false,true,3,-1,-1,4,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,true,2,-1,-1,5,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,true,1,-1,-1,6,0,2,West,7,6,6,3,true,false,false,false,West
false,true,false,false,-1,-1,-1,7,0,1,West,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,6,0,1,East,6,6,6,3,false,false,false,true,East
false,true,false,true,-1,-1,-1,5,0,1,East,6,6,6,3,false,false,false,true,East
true,true,false,true,-1,-1,-1,4,0,1,East,6,6,6,3,false,false,false,true,East
true,true,false,true,-1,-1,-1,3,0,1,East,6,6,6,3,false,false,false,true,East
